"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"6980003","171 LEE AVE","San Francisco","CA",94112,-122.454414445,37.7213380492,-122.454607729,37.7212860325,-122.45422106,37.7213900831,NA,"171 LEE AVE,San Francisco,CA,94112",6075
"7145001030","3510 Elm Ave",NA,"CA",90807,-118.187530445,33.8203889749,-118.187845194,33.8201962823,-118.18721632,33.8205811835,"010E","3510 Elm Ave,NA,CA,90807",6037
"122-091-021","1133 W EVERGREEN CT","Visalia","CA",93277,-119.303528061,36.3062594056,-119.30366882,36.3061308678,-119.303288138,36.3064570913,NA,"1133 W EVERGREEN CT,Visalia,CA,93277",6107
"003-242-035","4647 Carpinteria Ave","Carpinteria","CA",93013,-119.523664875,34.4013652916,-119.523854393,34.4012312287,-119.523477421,34.4014993442,"0800","4647 Carpinteria Ave,Carpinteria,CA,93013",6083
"3468020754","8525 VILLA LA JOLLA DR","La Jolla","CA",92037,-117.234888649,32.8627493865,-117.235459206,32.8615551624,-117.234413303,32.8636571794,NA,"8525 VILLA LA JOLLA DR,La Jolla,CA,92037",6073
"8470041006","1546 S Shadydale Ave","West Covina","CA",91790,-117.949885774,34.0545017952,-117.95010648,34.0543219101,-117.949664874,34.0546816159,"0101","1546 S Shadydale Ave,West Covina,CA,91790",6037
"1900802200","25118 LAKE WOHLFORD RD","Escondido","CA",92027,-117.019879375,33.1683703727,-117.021696463,33.1663752409,-117.018001836,33.170312235,NA,"25118 LAKE WOHLFORD RD,Escondido,CA,92027",6073
"123-036-001","418 W Main St","Santa Maria","CA",93458,-120.441239454,34.9528708169,-120.441311039,34.9527327365,-120.441167866,34.9530088961,"0000","418 W Main St,Santa Maria,CA,93458",6083
"061 261802400","983 TULARE AVE","Berkeley","CA",94707,-122.281727745,37.8872134052,-122.281954836,37.8871003454,-122.28150001,37.8873264051,"1100","983 TULARE AVE,Berkeley,CA,94707",6001
"2310011024","8148 Gentry Ave",NA,"CA",91605,-118.392877,34.2190186967,-118.393054801,34.2189358167,-118.392699181,34.2191015691,"0100","8148 Gentry Ave,NA,CA,91605",6037
